idiom,idiom_token
keep your nose to the grindstone,IDkeepyournosetothegrindstoneID
split hairs,IDsplithairsID
five-finger discount,IDfivefingerdiscountID
turn a trick,IDturnatrickID
to the max,IDtothemaxID
go halves,IDgohalvesID
hedge your bets,IDhedgeyourbetsID
under the rose,IDundertheroseID
thin as a rake,IDthinasarakeID
up to snuff,IDuptosnuffID
come with the territory,IDcomewiththeterritoryID
give someone enough rope,IDgivesomeoneenoughropeID
come out of your shell,IDcomeoutofyourshellID
in your sights,IDinyoursightsID
handsome is as handsome does,IDhandsomeisashandsomedoesID
on the knocker,IDontheknockerID
thumb your nose at,IDthumbyournoseatID
play possum,IDplaypossumID
burn rubber,IDburnrubberID
fish in troubled waters,IDfishintroubledwatersID
make yourself scarce,IDmakeyourselfscarceID
a little bird told me,IDalittlebirdtoldmeID
have someone on toast,IDhavesomeoneontoastID
raise Cain,IDraisecainID
full of the joys of spring,IDfullofthejoysofspringID
"day in, day out",IDdayindayoutID
draw stumps,IDdrawstumpsID
cook someone's goose,IDcooksomeonesgooseID
dead as a dodo,IDdeadasadodoID
use a sledgehammer to crack a nut,IDuseasledgehammertocrackanutID
go down the pan,IDgodownthepanID
go the extra mile,IDgotheextramileID
start off on the right foot,IDstartoffontherightfootID
shoot the bull,IDshootthebullID
honours are even,IDhonoursareevenID
fire in the belly,IDfireinthebellyID
walk the talk,IDwalkthetalkID
blood and thunder,IDbloodandthunderID
pull up stakes,IDpullupstakesID
time and tide wait for no man,IDtimeandtidewaitfornomanID
take a hike,IDtakeahikeID
roll up your sleeves,IDrollupyoursleevesID
have the hots for,IDhavethehotsforID
cut a rug,IDcutarugID
hit someone for six,IDhitsomeoneforsixID
last hurrah,IDlasthurrahID
spit the dummy,IDspitthedummyID
play silly buggers,IDplaysillybuggersID
chase rainbows,IDchaserainbowsID
too many chiefs and not enough Indians,IDtoomanychiefsandnotenoughindiansID
drop like flies,IDdroplikefliesID
put someone out to pasture,IDputsomeoneouttopastureID
cool your heels,IDcoolyourheelsID
all over the map,IDalloverthemapID
every man jack,IDeverymanjackID
warm the cockles of someone's heart,IDwarmthecocklesofsomeonesheartID
kick against the pricks,IDkickagainstthepricksID
"more haste, less speed",IDmorehastelessspeedID
tickle the ivories,IDtickletheivoriesID
tough titty,IDtoughtittyID
boots and all,IDbootsandallID
go Dutch,IDgodutchID
hit the skids,IDhittheskidsID
keep on trucking,IDkeepontruckingID
by the skin of your teeth,IDbytheskinofyourteethID
not bat an eye,IDnotbataneyeID
shipshape and Bristol fashion,IDshipshapeandbristolfashionID
put your shoulder to the wheel,IDputyourshouldertothewheelID
come to a pretty pass,IDcometoaprettypassID
give someone the runaround,IDgivesomeonetherunaroundID
meet your maker,IDmeetyourmakerID
circle the wagons,IDcirclethewagonsID
get a rise out of,IDgetariseoutofID
jump the track,IDjumpthetrackID
keep your head above water,IDkeepyourheadabovewaterID
whistle Dixie,IDwhistledixieID
swim with the tide,IDswimwiththetideID
make a night of it,IDmakeanightofitID
draw a line in the sand,IDdrawalineinthesandID
drown your sorrows,IDdrownyoursorrowsID
carry a torch for,IDcarryatorchforID
blow the lid off,IDblowthelidoffID
could eat a horse,IDcouldeatahorseID
drag your feet,IDdragyourfeetID
top dollar,IDtopdollarID
it's all Greek to me,IDitsallgreektomeID
dot the i's and cross the t's,IDdottheisandcrossthetsID
haul someone over the coals,IDhaulsomeoneoverthecoalsID
go to the mat,IDgotothematID
roll with the punches,IDrollwiththepunchesID
separate the sheep from the goats,IDseparatethesheepfromthegoatsID
put your heads together,IDputyourheadstogetherID
speak of the devil,IDspeakofthedevilID
have a tiger by the tail,IDhaveatigerbythetailID
duke it out,IDdukeitoutID
beard the lion in his den,IDbeardthelioninhisdenID
along about,IDalongaboutID
no peace for the wicked,IDnopeaceforthewickedID
spare the rod and spoil the child,IDsparetherodandspoilthechildID
out of whack,IDoutofwhackID
arse about face,IDarseaboutfaceID
lose your marbles,IDloseyourmarblesID
lock the stable door after the horse has bolted,IDlockthestabledoorafterthehorsehasboltedID
be all ears,IDbeallearsID
let someone down gently,IDletsomeonedowngentlyID
"waste not, want not",IDwastenotwantnotID
it never rains but it pours,IDitneverrainsbutitpoursID
lower your sights,IDloweryoursightsID
on your soapbox,IDonyoursoapboxID
something nasty in the woodshed,IDsomethingnastyinthewoodshedID
rain cats and dogs,IDraincatsanddogsID
bury your head in the sand,IDburyyourheadinthesandID
put on the ritz,IDputontheritzID
see which way the cat jumps,IDseewhichwaythecatjumpsID
go through the mill,IDgothroughthemillID
bedroom eyes,IDbedroomeyesID
them's the breaks,IDthemsthebreaksID
cop a plea,IDcopapleaID
blow your own trumpet,IDblowyourowntrumpetID
big girl's blouse,IDbiggirlsblouseID
make money hand over fist,IDmakemoneyhandoverfistID
hit the hay,IDhitthehayID
have a bun in the oven,IDhaveabunintheovenID
from stem to stern,IDfromstemtosternID
throw your hat in the ring,IDthrowyourhatintheringID
hang tough,IDhangtoughID
seeing is believing,IDseeingisbelievingID
have someone by the short and curlies,IDhavesomeonebytheshortandcurliesID
smoke and mirrors,IDsmokeandmirrorsID
push someone's buttons,IDpushsomeonesbuttonsID
keep your eye on the ball,IDkeepyoureyeontheballID
catch someone napping,IDcatchsomeonenappingID
knock someone's block off,IDknocksomeonesblockoffID
put the screws on,IDputthescrewsonID
quiet as a mouse,IDquietasamouseID
kill the fatted calf,IDkillthefattedcalfID
spread yourself too thin,IDspreadyourselftoothinID
before you can say knife,IDbeforeyoucansayknifeID
beat the rap,IDbeattherapID
what's your poison?,IDwhatsyourpoisonID
practise what you preach,IDpractisewhatyoupreachID
there's no fool like an old fool,IDtheresnofoollikeanoldfoolID
top banana,IDtopbananaID
all dressed up and nowhere to go,IDalldressedupandnowheretogoID
keep your nose clean,IDkeepyournosecleanID
ring off the hook,IDringoffthehookID
